"County","Market Name","Market Location","Address Line 1","City","State","Zip","Contact","Phone","Market Link","Operation Hours","Operation Season","Operating Months","FMNP","SNAP","FCC Issued","FCC Accepted","WIC VF","Latitude","Longitude","Georeference_1"
"Albany","Altamont Orchards Farm Stand","6654 Dunnsville Rd Altamont","6654 Dunnsville Road","Altamont","NY","12009","Jim Abbruzzese","5188616515","http://www.altamontorchards.com","Mon-Fri 10am-5pm, Sat/Sun 9:30am-4pm","June 1-November 30","M/X","Y","N","N","Y","N","42.72256","-74.01493","POINT (-74.01493 42.72256)"
"Albany","Delaware Community Farmers' Market","Delaware Branch Library parking lot, 331 Delaware Ave Albany","331 Delaware Ave","Albany","NY","12209","Louise McNeilly","5184320516",,"Tue 4pm-7pm","June 23-November 3","M","Y","Y","Y","Y","N","42.64305","-73.77824","POINT (-73.77824 42.64305)"
"Albany","Delmar Farmers' Market","Bethlehem Middle School, 332 Kenwood Ave","332 Kenwood Avenue","Delmar","NY","12054","Mary Ann Gonzalez","5182506823","http://www.delmarmarket.org","Sat 9am-1pm","May 2-December 19","P/M/X","Y","N","N","Y","N","42.62034","-73.8257","POINT (-73.8257 42.62034)"
"Albany","Empire State Plaza Wed Farmers' Market","Empire State Plaza, (Winter inside South Concourse)","170 State St","Albany","NY","12210","Nicholas DeBlois","5184744759","http://empirestateplaza.ny.gov/empire-state-plaza-farmers-market","Wed 10am-2pm","Year-round","YR","N","Y","Y","Y","N","42.65068","-73.758","POINT (-73.758 42.65068)"
"Albany","Gade Farm Farm Stand","2479 Western Ave Altamont","2479 Western Avenue","Altamont","NY","12009","Amy Castillo","5188698019","http://www.gadefarm.com","Mon-Fri 9am-6pm, Sun/Sat 9am-4pm","January 23-December 24","W/P/M/X","Y","N","N","Y","N","42.71055","-73.92593","POINT (-73.92593 42.71055)"
"Albany","Lansing Farm Stand","204 Lisha Kill Rd Colonie","204 LishaKill","Colonie","NY","12309","Al Or Jessica Lansing","5184640889","http://www.lansingfarmmarket.com","Mon-Fri 10am-5:30pm, Sat/Sun 9am-4pm","May 1-December 10","P/M/X","Y","N","N","Y","N","42.7629","-73.85447","POINT (-73.85447 42.7629)"
"Albany","Town of Colonie Farmers' Market","580 Albany Shaker Rd Loudonville","580 Albany Shaker Rd","Colonie","NY","12211","Tara Booker","5187832760","http://www.colonie.org","Sat 9am-1pm","May 16-September 19","P/M","Y","N","N","Y","N","42.71016","-73.78029","POINT (-73.78029 42.71016)"
"Albany","Veggie Mobile Sprout-Eugene Hanratta Senior Housing","500 16th St Watervliet","500 16th Street","Watervliet","NY","12189","Collin Parliman","5182748685",,"Fri 12:30pm-1:15pm","Year-round","YR","Y","Y","N","Y","N","42.728","-73.70509","POINT (-73.70509 42.728)"
"Albany","Veggie Mobile Sprout-Ogden Mills Apartments","Ogden Mills Plaza Cohoes","Ogden Mills Plaza","Cohoes","NY","12047","Collin Parliman","5182748685",,"Wed 2:30pm-3:30pm","Year-round","YR","Y","Y","N","Y","N","42.77485","-73.7026","POINT (-73.7026 42.77485)"
"Albany","Veggie Mobile Sprout-St. Sophia Church","440 Whitehall Rd Albany","440 Whitehall Road","Albany","NY","12208","Collin Parliman","5182748685","http://www.capitalroots.org","Wed 11:30am-12:30pm","Year-round","YR","Y","Y","N","Y","N","42.65197","-73.81477","POINT (-73.81477 42.65197)"
"Albany","Veggie Mobile Sprout-Westview Homes","680 Central Ave Albany","680 Central Avenue","Albany","NY","12206","Collin Parliman","5182748685",,"Tue 11:45am-12:30pm","Year-round","YR","Y","Y","N","Y","N","42.6746","-73.78474","POINT (-73.78474 42.6746)"
"Albany","Veggie Mobile-Capital Green Apartments","400 Central Ave Albany","400 Central Avenue","Albany","NY","12206","Collin Parliman","5182748685",,"Thu 2pm-2:45pm","Year-round","YR","Y","Y","N","Y","N","42.6677","-73.77645","POINT (-73.77645 42.6677)"
"Albany","Veggie Mobile-Cohoes Senior Ctr","10 Cayuga Plaza Cohoes","10 Cayuga Plaza","Cohoes","NY","12047","Collin Parliman","5182748685","http://www.capitalroots.org","Wed 2pm-3pm","Year-round","YR","Y","Y","N","Y","N","42.77603","-73.70103","POINT (-73.70103 42.77603)"
"Albany","Veggie Mobile-Drake Manor Idlewild Terrace","112 2nd St Albany","112 2nd Street","Albany","NY","12210","Collin Parliman","5182748685",,"Tue 1:15pm-2pm","Year-round","YR","Y","Y","N","Y","N","42.65986","-73.75648","POINT (-73.75648 42.65986)"
"Albany","Veggie Mobile-South Mall Towers","101 S Pearl St Albany","101 South Pearl Street","Albany","NY","12207","Collin Parliman","5182748685","http://www.capitalroots.org","Fri 10:30am-11:30am","Year-round","YR","Y","Y","N","Y","N","42.6465","-73.75482","POINT (-73.75482 42.6465)"
"Albany","Veggie Mobile-Steamboat Square Apts","200 Green St Albany","200 Green Street","Albany","NY","12202","Collin Parliman","5182748685","http://www.capitalroots.org","Thu 3pm-3:45pm","Year-round","YR","Y","Y","N","Y","N","42.64071","-73.75345","POINT (-73.75345 42.64071)"
"Albany","Veggie Mobile-Thurlow Terrace","2 Thurlow Terrace Albany","2 Thurlow Terrace","Albany","NY","12203","Collin Parliman","5182748685","http://www.capitalroots.org","Wed 12:45pm-1:30pm","Year-round","YR","Y","Y","N","Y","N","42.65998","-73.77276","POINT (-73.77276 42.65998)"
"Albany","Veggie Mobile-USCRI","155 Washington Ave Albany","155 Washington Avenue","Albany","NY","12210","Collin Parliman","5182748685",,"Tue 12:15pm-1pm","Year-round","YR","Y","Y","N","Y","N","42.65641","-73.76178","POINT (-73.76178 42.65641)"
"Albany","Veggie Mobile-Whitney Young Health Ctr","920 Lark Dr Albany","920 Lark Drive","Albany","NY","12207","Collin Parliman","5182748685","http://www.capitalroots.org","Tue 11am-12pm","Year-round","YR","Y","Y","N","Y","N","42.66215","-73.74859","POINT (-73.74859 42.66215)"
"Albany","Voorheesville Farmers' Market","First United Methodist Church lot, 68 Maple Ave","68 Maple Ave","Voorheesville","NY","12186","Dianne Luci","5187654536","https://www.voorheesvillefarmersmarket.com/","Wed 3:30pm-6:30pm","June 17-September 30","M","Y","N","N","Y","N","42.64892","-73.92991","POINT (-73.92991 42.64892)"
"Allegany","Alfred Farmers' Market","3 South Main St","3 South Main Street Alfred Bandstand","Alfred","NY","14802","Kim Hannigan","5856108478","http://www.alfredfarmersmarket.com","Sun 11am-3pm","June 7-October 11","M","Y","N","N","Y","N","42.25359","-77.79036","POINT (-77.79036 42.25359)"
"Allegany","Alfred Winter Farmers' Market","Union University Church Center, 29 N Main St","29 N. Main St.","Alfred","NY","14802","Kim Hannigan","5856108478","http://www.alfredfarmersmarket.com","Sun 11am-2pm, Monthly","November-April","W/P/X","N","N","N","Y","N","42.25483","-77.79041","POINT (-77.79041 42.25483)"
"Allegany","Angelica Farmers' Market","49 Park Circle","49 Park Circle","Angelica","NY","14709","Don Ash","5857478499","https://angelicafarmersmrkt.wixsite.com/angelicafarmersmrkt","Sat 10am-2pm","June 13-September 26","M","Y","N","N","Y","N","42.30537","-78.01551","POINT (-78.01551 42.30537)"
"Allegany","Belmont Farmers' Market","5429 State Route 19N","5429 NYS Route 19 N","Belmont","NY","14813","Debra Wagoner","5856108836",,"Thu 11am-3pm","June 4-October 8","M","Y","N","N","Y","N","42.2356","-78.05212","POINT (-78.05212 42.2356)"
"Allegany","Ramsey Fresh Foods Farm Stand","3702 State Route 19 Scio","3702 State Route 19","Scio","NY","14880","Alissa & John Ramsey","5855969151",,"Tue-Fri/Sun 1pm-7pm, Mon/Sat 11am-7pm","June 1-November 1","M","Y","N","N","Y","N","42.16076","-77.98063","POINT (-77.98063 42.16076)"
"Allegany","Wagoner Bees & Produce Farm Stand","11137 Wayne Rd Fillmore","11137 Wayne Rd.","Fillmore","NY","14735","Terry Wagoner","5856108837",,"Sun-Wed/Fri 1pm-6pm, Sat 10am-6pm","May 22-November 1","P/M","Y","N","N","Y","N","42.48048","-78.09067","POINT (-78.09067 42.48048)"
"Bronx","170 Farm Stand","1406 Townsend Ave & 170th St","1411 Townsend Ave","Bronx","NY","10452","Regina Harrell","7187585901","http://www.newsettlement.org/170FarmStand","Wed 2pm-6pm","July 8-November 25","M","Y","N","N","Y","N","40.84009","-73.9166","POINT (-73.9166 40.84009)"
"Bronx","Bissel Gardens Sat Farmers' Market","Baychester Ave below E 241 St intersection","Baychester Ave and East 241st St","Bronx","NY","10470","Heather Dombrowa","3474272547","http://www.bisselgardens.org","Sat 8:30am-4pm","July 11-November 21","M","Y","Y","N","Y","N","40.90151","-73.84702","POINT (-73.84702 40.90151)"
"Bronx","Bissel Gardens Wed Farmers' Market","Baychester Ave below E 241 St intersection","Baychester Avenue and East 241 Street","Bronx","NY","10470","Heather Dombrowa","3474272547","http://www.bisselgardens.org","Wed 8:30am-3pm","July 8-November 18","M","Y","Y","N","Y","N","40.90152","-73.84692","POINT (-73.84692 40.90152)"
"Bronx","Bronx Borough Hall Greenmarket","161st & Grand Concourse","900 Concourse Plaza","Bronx","NY","10451","Daniel Olavarria","2127887900","http://www.grownyc.org/greenmarket","Tue 8am-4pm","June 2-November 24","M","Y","Y","N","Y","Y","40.82554","-73.91838","POINT (-73.91838 40.82554)"
"Bronx","Bronx Park East Farmers' Market","2045 Bronx Park E","2222 Bronx Park E","Bronx","NY","12748","Judith Desire","3473917189","http://bxpemarket.com","Sun 9am-4pm","June 7-November 22","M","Y","Y","N","Y","N","40.8521","-73.86869","POINT (-73.86869 40.8521)"
